[craftsman-1-GAME] 2026/05/25 18:41:50 Stored raw JSON for storage (25979 bytes)
[craftsman-1-GAME] 2026/05/25 18:41:50 Parsed ship listings data

Storage at grand_exchange_station — 313 types, 129771 units, 198579 volume
  Name (id)                                                       |   Qty | Unit Size
  Gas Harvester II (gas_harvester_ii)                             |    24 |        10
  Gas Harvester III (gas_harvester_iii)                           |    96 |        10
  Gold Ore (gold_ore)                                             |   311 |         1
  Gold Wiring (gold_wiring)                                       |   287 |         1
  Graphene Sheet (graphene_sheet)                                 |   259 |         1
  Graviton Beam I (graviton_beam_i)                               |     1 |        10
  Hazmat Container (hazmat_container)                             |    78 |         4
  Heat Sink (heat_sink)                                           |   207 |         1
  Heavy Torpedo (heavy_torpedo)                                   |    39 |        10
  Helium-3 (helium_3)                                             |   303 |         1
  Helium Ice (helium_ice)                                         |   303 |         2
  Hull Patch (hull_patch)                                         |   303 |         1
  Hull Plating (hull_plating)                                     |   245 |         2
  Hull Reinforcement I (hull_reinforcement_i)                     |   111 |        10
  Hull Reinforcement II (hull_reinforcement_ii)                   |    24 |        10
  Hydrogen Gas (hydrogen_gas)                                     |   513 |         1
  Ice Harvester I (ice_harvester_i)                               |   203 |        10
  Ice Harvester II (ice_harvester_ii)                             |     9 |        10
  Ice Harvester III (ice_harvester_iii)                           |     5 |        10
  Ice Harvester IV (ice_harvester_iv)                             |     9 |        10
  Ion Blaster II (ion_blaster_ii)                                 |     1 |        10
  Ion Blaster III (ion_blaster_iii)                               |    25 |        10
  Ion Emitter (ion_emitter)                                       |    27 |         2
  Ion Gas (ion_gas)                                               |   195 |         1
  Ion Solution (ion_solution)                                     |    23 |         1
  Ionized Neon (ionized_neon)                                     |   303 |         1
  Iridium Ore (iridium_ore)                                       |   259 |         1
  Iron Ore (iron_ore)                                             | 12060 |         1
  Kinetic Hull Hardener (kinetic_hull_hardener)                   |    11 |        10
  Krypton Gas (krypton_gas)                                       |    44 |         1
  Laser Focus Array (laser_focus_array)                           |    14 |         2
  Lead Ingot (lead_ingot)                                         |   107 |         1
  Lead Lined Cargo I (lead_lined_cargo_i)                         |     8 |        10
  Lead Ore (lead_ore)                                             |   319 |         2
  Lead Sheet (lead_sheet)                                         |   101 |         1
  Legacy Ore (legacy_ore)                                         |   242 |         2
  Life Support Array (life_support_array)                         |   154 |         3
  Life Support Unit (life_support_unit)                           |   319 |         2
  Liquid Hydrogen (liquid_hydrogen)                               |   143 |         1
  Liquid Nitrogen (liquid_nitrogen)                               |   303 |         1
  Liquid Tritium (liquid_tritium)                                 |     1 |         1
  Lithium Ore (lithium_ore)                                       |   285 |         1
  Magnetic Ore Separator (magnetic_ore_separator)                 |     7 |        10
  Micro-Thruster Array (micro_thruster_array)                     |     4 |         1
  Mining Drone (mining_drone)                                     |     4 |         5
  Mining Laser I (mining_laser_i)                                 |   211 |        10
  Mining Laser II (mining_laser_ii)                               |   204 |        10
  Mining Laser III (mining_laser_iii)                             |   118 |        10
  Mining Laser IV (mining_laser_iv)                               |    12 |        10
  Mining Survey Probe (mining_survey_probe)                       |     8 |         1
  Missile Launcher I (missile_launcher_i)                         |     5 |        10
  Missile Launcher II (missile_launcher_ii)                       |     1 |        10
  Missile Warhead (missile_warhead)                               |   303 |         2
  Nanoplastic Composite (nanoplastic_composite)                   |   303 |         1
  Navigation Array (navigation_array)                             |    48 |         2
  Nebula Bio-Regenerator (nebula_bio_regenerator)                 |    31 |        10
  Nebula Cargo Matrix (nebula_cargo_matrix)                       |   303 |         3
  Nebula Essence (nebula_essence)                                 |   303 |         1
  Nebula Gas (nebula_gas)                                         |   303 |         2
  Nebula Prism Computer (nebula_prism_computer)                   |   122 |         2
  Nebula Stellar Vintage (nebula_stellar_vintage)                 |    17 |         1
  Neon Gas (neon_gas)                                             |   349 |         1
  Neon Signaling Array (neon_signaling_array)                     |   303 |         1
  Neural Disruption Charge Pack (neural_disruption_charge_pack)   |     7 |         1
  Neural Extract (neural_extract)                                 |   303 |         1
  Neural Interface Gel (neural_interface_gel)                     |    89 |         1
  Neutronium Ingot (neutronium_ingot)                             |     6 |         3
  Nickel Ore (nickel_ore)                                         | 18467 |         1
  Nitrogen Ice (nitrogen_ice)                                     |   398 |         1
  Null Matter (null_matter)                                       |   256 |         2
  Ore Hopper (ore_hopper)                                         |   202 |         5
  Palladium Ore (palladium_ore)                                   |   285 |         1
  Pan-Galactic Matrix (pan_galactic_matrix)                       |     1 |         3
  Pharmaceutical Culture (pharmaceutical_culture)                 |   154 |         1
  Phase Array (phase_array)                                       |   303 |         3
  Phase Cloaking Device (phase_cloaking_device)                   |     2 |        10
  Phase Crystal (phase_crystal)                                   |   215 |         2
  Phase Matrix (phase_matrix)                                     |   351 |         2
  Piercing Railgun I (piercing_railgun_i)                         |     2 |        10
  Pirate Radio Scanner (pirate_radio_scanner)                     |   102 |        10
  Plasma Cell Pack (plasma_cell_pack)                             |   136 |         1
  Plasma Gas (plasma_gas)                                         |   303 |         2
  Plasma Residue (plasma_residue)                                 |   248 |         2
  Platinum Ore (platinum_ore)                                     |   411 |         1
  Power Battery (power_battery)                                   |   309 |         1
  Power Cell (power_cell)                                         |   205 |         2
  Power Core (power_core)                                         |     2 |         3
  Power Distribution Grid (power_distribution_grid)               |   275 |         2
  Precision Optic (precision_optic)                               |   363 |         1
  Premium Fuel Cell (premium_fuel_cell)                           |   303 |         2
  Pressure Seal (pressure_seal)                                   |  6629 |         1
  Prismatic Lens (prismatic_lens)                                 |   328 |         1
  Prismatic Nebulite (prismatic_nebulite)                         |   204 |         1
  Processed Null Matter (processed_null_matter)                   |   197 |         2
  Processed Thorium (processed_thorium)                           |     6 |         1
  Processing Core (processing_core)                               |   257 |         1
  Pulse Laser I (pulse_laser_i)                                   |   202 |        10
  Pulse Laser II (pulse_laser_ii)                                 |     4 |        10
  Pulse Laser III (pulse_laser_iii)                               |    33 |        10
  Purified Argon (purified_argon)                                 |   281 |         1
  Purified Krypton (purified_krypton)                             |    32 |         1
  Purified Water (purified_water)                                 |   339 |         1
  Purified Xenon (purified_xenon)                                 |   194 |         1
  Quantum Dot Matrix (quantum_dot_matrix)                         |   165 |         1
  Quantum Fragments (quantum_fragments)                           |   265 |         3
  Quantum Processor (quantum_processor)                           |    13 |         2
  Quantum Stabilizer (quantum_stabilizer)                         |   324 |         2
  Radiation-Hardened Circuit (radiation_hardened_circuit)         |    10 |         1
  Radium Ore (radium_ore)                                         |    18 |         1
  Radium Phosphor (radium_phosphor)                               |   202 |         1
  Railgun Capacitor (railgun_capacitor)                           |     2 |         3
  Railgun II (railgun_ii)                                         |     7 |        10
  Rare Salvage (rare_salvage)                                     |    49 |         1
  Reactive Armor Hardener (reactive_armor_hardener)               |     9 |        10
  Refined Plasma Core (refined_plasma_core)                       |   303 |         2
  Refined Quantum Matrix (refined_quantum_matrix)                 |     5 |         2
  Reflex Enhancer (reflex_enhancer)                               |   303 |         1
  Refueling Pump (refueling_pump)                                 |    71 |        10
  Reinforced Bulkhead (reinforced_bulkhead)                       |   251 |         3
  Reinforced Glass (reinforced_glass)                             |  1553 |         1
  Repair Kit (repair_kit)                                         |   306 |         2
  Repair Nanite Container (repair_nanite_container)               |   303 |         2
  Repair Nanites (repair_nanites)                                 |   134 |         1
  Salvage Components (salvage_components)                         |     4 |         2
  Salvage Metal (salvage_metal)                                   |   303 |         1
  Scrapgun (scrapgun)                                             |    24 |        10
  Sensor Array (sensor_array)                                     |   219 |         2
  Sensor Booster (sensor_booster)                                 |   303 |         1
  Sensor Cluster (sensor_cluster)                                 |    23 |         2
  Sensor Jammer (sensor_jammer)                                   |     9 |         1
  Sensor Package (sensor_package)                                 |    98 |         3
  Shield Array (shield_array)                                     |    84 |         3
  Shield Booster I (shield_booster_i)                             |   202 |        10
  Shield Booster II (shield_booster_ii)                           |    65 |        10
  Shield Booster III (shield_booster_iii)                         |    25 |        10
  Shield Booster IV (shield_booster_iv)                           |    40 |        10
  Shield Charge (shield_charge)                                   |   170 |         1
  Shield Emitter (shield_emitter)                                 |   155 |         2
  Shield Matrix (shield_matrix)                                   |   327 |         2
  Shield Overcharge (shield_overcharge)                           |    25 |         1
  Ship Scanner I (ship_scanner_i)                                 |   202 |        10
  Ship Scanner II (ship_scanner_ii)                               |     4 |        10
  Silicate Composite (silicate_composite)                         |  1528 |         1
  Silicon Ore (silicon_ore)                                       | 13363 |         1
  Silver Ore (silver_ore)                                         |   299 |         1
  Silver Wiring (silver_wiring)                                   |   262 |         1
  Sol Alloy Ore (sol_alloy_ore)                                   |   300 |         2
  Solarian Biotic (solarian_biotic)                               |   202 |         1
  Solarian Composite (solarian_composite)                         |   216 |         2
  Solarian Gourmet Rations (solarian_gourmet_rations)             |   303 |         1
  Solarian Legacy Alloy (solarian_legacy_alloy)                   |   156 |         2
  Solarian Logic Matrix (solarian_logic_matrix)                   |    31 |         2
  Speed Stim (speed_stim)                                         |     3 |         1
  Stabilized Exotic (stabilized_exotic)                           |    52 |         2
  Standard Guided Missiles (standard_guided_missiles)             |    69 |         1
  Standard Rounds Box (standard_rounds_box)                       |   956 |         1
  Steel Plate (steel_plate)                                       |  1807 |         1
  Superconductor (superconductor)                                 |   351 |         1
  Survey Scanner I (survey_scanner_i)                             |   181 |        10
  Survey Scanner II (survey_scanner_ii)                           |    22 |        10
  Swarm Controller (swarm_controller)                             |    12 |         2
  Synthetic Compound (synthetic_compound)                         |    72 |         1
  Synthetic Diamond (synthetic_diamond)                           |   303 |         1
  Target Painter I (target_painter_i)                             |     1 |        10
  Targeting Computer (targeting_computer)                         |    58 |         2
  Thermal Ceramic (thermal_ceramic)                               |   307 |         1
  Thermal Flare (thermal_flare)                                   |   111 |         1
  Thermal Hull Hardener (thermal_hull_hardener)                   |    30 |        10
  Thermal Sublimator (thermal_sublimator)                         |    10 |        10
  Thorium Ore (thorium_ore)                                       |   115 |         2
  Thruster Assembly (thruster_assembly)                           |   303 |         3
  Thruster Nozzle (thruster_nozzle)                               |   303 |         2
  Titanium Alloy (titanium_alloy)                                 |   255 |         1
  Titanium Ingot (titanium_ingot)                                 |   309 |         1
  Titanium Ore (titanium_ore)                                     |   219 |         1
  Trace Exotic Element (trace_exotic_element)                     |   303 |         1
  Trade Authenticator (trade_authenticator)                       |   521 |         1
  Trade Crystal (trade_crystal)                                   |  7586 |         1
  Tungsten Ore (tungsten_ore)                                     |   203 |         2
  Tungsten Rod (tungsten_rod)                                     |   301 |         2
  Tungsten Slug Case (tungsten_slug_case)                         |   303 |         1
  Universal Nav Core (universal_nav_core)                         |    22 |         2
  Uranium Hexafluoride (uranium_hexafluoride)                     |   142 |         2
  Uranium Ore (uranium_ore)                                       |    92 |         2
  Vanadium Ore (vanadium_ore)                                     |   472 |         1
  Void Capacitor (void_capacitor)                                 |    14 |         3
  Void Core Pack (void_core_pack)                                 |    10 |         1
  Void Essence (void_essence)                                     |   263 |         2
  Void Nanite Suspension (void_nanite_suspension)                 |   202 |         1
  Voidborn Neural Matrix (voidborn_neural_matrix)                 |   303 |         1
  Voidborn Neural Soma (voidborn_neural_soma)                     |   179 |         1
  Voidborn Null Matrix (voidborn_null_matrix)                     |    13 |         2
  Water Ice (water_ice)                                           |   508 |         1
  Water Recycler (water_recycler)                                 |   293 |         2
  Weapon Battery (weapon_battery)                                 |   130 |         3
  Weapon Core (weapon_core)                                       |   303 |         2
  Weapon Housing (weapon_housing)                                 |   303 |         2
  Wiring Harness (wiring_harness)                                 |  6606 |         1
  Xenon Gas (xenon_gas)                                           |   303 |         1
  (313 items)

  SHIPS
  ID                               | Ship Name          | Class              | Cargo Used | Modules
  ---------------------------------+--------------------+--------------------+------------+--------
  31b97faa7818acd0d3538c563934780b | Prospect           | prospect           |          0 |       2
  4fe7c543723f57f4cbbcdad3294af86d | Deeprock Harvester | deeprock_harvester |          0 |       8
  67ef4a3e25dc336829d7d3e25736fe61 | Reclaim            | reclaim            |          0 |       1
  9c52d6bd795852b673a66c493000cf98 | Drillship          | drillship          |          0 |       1
  af34282e3f0e0e0443829b969452e6a6 | Excavator          | excavator          |          0 |       2
  b2a90a6475787282821b422b34658403 | Conf



[craftsman-1-GAME] 2026/05/26 01:43:22 Stored raw JSON for skills (2278 bytes)
[PLAY_AS-craftsman-1] 2026/05/26 01:43:22 XP change: drone_control +2345.0 XP (level 15->16) from get_skills  (qty: 1)
[PLAY_AS-craftsman-1] 2026/05/26 01:43:22 XP change: crafting +35.0 XP (level 22->23) from get_skills  (qty: 1)
[PLAY_AS-craftsman-1] 2026/05/26 01:43:22 XP change: engineering +330.0 XP (level 25->25) from get_skills  (qty: 1)
[PLAY_AS-craftsman-1] 2026/05/26 01:43:22 OK: Your skill progress. Use 'catalog' with type='skills' to browse all skill definitions.

Skills (19)
  Skill                  | Category    | Level |     Progress to Next
  -----------------------+-------------+-------+---------------------
  Gunnery                | Combat      |     0 |      6 /    60 (10%)
  Leadership             | Combat      |     0 |     56 /    60 (93%)
  Tactics                | Combat      |     0 |      6 /    60 (10%)
  Weapons                | Combat      |     0 |      2 /    60 ( 3%)
  Corporation Management | Commerce    |     6 |    817 /  1740 (46%)
  Smuggling              | Commerce    |     0 |     50 /    60 (83%)
  Trading                | Commerce    |    17 |   6147 / 11365 (54%)
  Nebula Attunement      | Empire      |     0 |     50 /    60 (83%)
  Drone Control          | Engineering |    16 |   8105 / 10140 (79%)
  Engineering            | Engineering |    25 |   7547 / 23685 (31%)
  Exploration            | Exploration |     2 |    115 /   340 (33%)
  Wormhole Navigation    | Exploration |     0 |     50 /    60 (83%)
  Crafting               | Industry    |    23 |     35 / 20185 ( 0%)
  Deep Core Mining       | Industry    |    17 |   6353 / 11365 (55%)
  Mining                 | Industry    |    17 |  11172 / 11365 (98%)
  Refining               | Industry    |    12 |   4780 /  5940 (80%)
  Navigation             | Ships       |    12 |   3080 /  5940 (51%)
  Piloting               | Ships       |    28 |    629 / 29460 ( 2%)
  Scanning               | Ships       |    12 |   1772 /  5940 (29%)

